S#,Country,Latitute ,Longitute,Daily Oil Consumption (Barrels),World Share,Yearly Gallons Per Capita,Price Per Gallon (USD),Price Per Liter (USD),Price Per Liter (PKR),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy
1,United States,37.09024,-95.712891,"19,687,287",20%,934.3,5.19,1.37,289.97,"63,414","12,218",13
2,China,35.86166,104.195397,"12,791,553",13%,138.7,5.42,1.43,302.87,"10,435","1,925",14
3,India,20.593684,78.96288,"4,443,000",5%,51.4,5.05,1.33,281.93,"1,901",376,7
4,Japan,36.204824,138.252924,"4,012,877",4%,481.5,4.69,1.24,262.05,"40,193","8,570",18
5,Russia,61.52401,105.318756,"3,631,287",4%,383.2,3.41,0.9,190.56,"10,127","2,970",8
6,Saudi Arabia,23.885942,45.079162,"3,302,000",3%,1560.2,2.35,0.62,131.34,"20,110","8,557",5
7,Brazil,-14.235004,-51.92528,"2,984,000",3%,221.9,5.36,1.42,299.27,"6,797","1,268",6
8,South Korea,35.907757,127.766922,"2,605,440",3%,783.4,6.09,1.61,340.52,"31,632","5,194",7
9,Canada,56.130366,-106.346771,"2,486,301",3%,1047.6,6.76,1.79,377.74,"43,258","6,399",6
10,Germany,51.165691,10.451526,"2,383,393",3%,444.5,7.65,2.02,427.44,"46,208","6,040",14
11,Mexico,23.634501,-102.552784,"2,052,607",2%,255.1,4.36,1.15,243.44,"8,329","1,910",7
12,Iran,32.427908,53.688046,"1,803,999",2%,347.6,0.2,0.05,11.21,"2,423","12,115",35
13,France,46.227638,2.213749,"1,705,568",2%,404.3,8.27,2.19,462.13,"39,030","4,719",12
14,Indonesia,-0.789275,113.921327,"1,623,000",2%,95.1,4.48,1.18,250.42,"3,870",864,9
15,United Kingdom,55.378051,-3.435973,"1,583,896",2%,366.2,8.38,2.22,468.47,"41,125","4,908",13
16,Singapore,1.352083,103.819836,"1,357,000",1%,3679.5,8.71,2.3,486.87,"59,798","6,865",2
17,Italy,41.87194,12.56738,"1,236,628",1%,312.5,8.01,2.12,447.53,"31,714","3,959",13
18,Spain,40.463667,-3.74922,"1,290,063",1%,424.1,8.35,2.21,466.57,"27,063","3,241",8
19,Thailand,15.870032,100.992541,"1,302,000",1%,289.4,5.7,1.51,318.73,"7,189","1,261",4
20,Australia,-25.274398,133.775136,"1,114,645",1%,704.3,5.22,1.38,291.45,"51,693","9,903",14
21,Taiwan,23.69781,120.960515,"981,203",1%,636.9,3.94,1.04,220.17,"25,936","6,583",10
22,Turkey,38.963745,35.243322,"941,861",1%,180.9,6.06,1.6,338.4,"8,536","1,409",8
23,Netherlands,52.132633,5.291266,"937,098",1%,846,9.33,2.47,521.35,"52,397","5,616",7
24,Egypt,26.820553,30.802498,"877,000",1%,142.3,1.97,0.52,110.19,"3,548","1,801",13
25,United Arab Emirates,23.424076,53.847818,"896,000",1%,1467.3,4.15,1.1,232.02,"36,285","8,743",6
26,Iraq,33.223191,43.679291,"857,000",1%,358.9,1.95,0.51,108.71,"4,158","2,132",6
27,Malaysia,4.210484,101.975766,"708,000",1%,353.7,1.76,0.46,98.14,"10,412","5,916",17
28,Argentina,-38.416097,-63.616672,"709,000",1%,249.8,3.96,1.05,221.23,"8,579","2,166",9
29,Belgium,50.503887,4.469936,"631,522",1%,852.6,8.36,2.21,466.99,"45,159","5,402",6
30,South Africa,-30.559482,22.937506,"640,000",1%,174.6,5.59,1.48,312.6,"5,091",911,5
31,Venezuela,6.42375,-66.58973,"598,000",1%,307.1,0.08,0.02,4.65,"16,056","200,700",654
32,Poland,51.919438,19.145136,"582,161",1%,234.9,6.8,1.8,380.07,"15,721","2,312",10
33,Pakistan,30.375321,69.345116,"556,000",1%,41.9,3.9,1.03,217.85,"1,194",306,7
34,Vietnam,14.058324,108.277199,"478,000",1%,78.3,5.38,1.42,300.75,"2,786",518,7
35,Nigeria,9.081999,8.675277,"428,000",0%,35.3,1.57,0.42,87.98,"2,097","1,336",38
36,Colombia,4.570868,-74.297333,"357,000",0%,113.6,2.28,0.6,127.11,"5,333","2,339",21
37,Algeria,28.033886,1.659626,"429,000",0%,162.2,1.18,0.31,66.2,"3,310","2,805",17
38,Kuwait,29.31166,47.481766,"359,000",0%,1390.9,1.29,0.34,72.33,"24,812","19,234",14
39,Philippines,12.879721,121.774017,"429,000",0%,63.4,5.88,1.55,328.46,"3,299",561,9
40,Chile,-35.675147,-71.542969,"351,989",0%,296.3,5.26,1.39,293.77,"13,232","2,516",8
41,Hong Kong,22.396428,114.109497,"408,491",0%,864.5,11.35,3,634.29,"46,324","4,081",5
42,Kazakhstan,48.019573,66.923684,"325,000",0%,279.4,1.8,0.48,100.46,"9,122","5,068",18
43,Austria,47.516231,14.550072,"262,352",0%,459.8,8.07,2.13,450.92,"48,587","6,021",13
44,Sweden,60.128161,18.643501,"322,109",0%,502,8.7,2.3,486.24,"52,274","6,009",12
45,Peru,-9.189967,-75.015152,"246,000",0%,121.9,6.26,1.65,349.82,"6,127",979,8
46,Ukraine,48.379433,31.16558,"244,000",0%,83.7,6.44,1.7,359.76,"3,727",579,7
47,Ecuador,-1.831239,-78.183406,"259,000",0%,240.8,4.43,1.17,247.46,"5,600","1,264",5
48,Greece,39.074208,21.824312,"296,101",0%,427.6,9.49,2.51,530.02,"17,623","1,857",4
49,Morocco,31.791702,-7.09262,"275,000",0%,120,6.36,1.68,355.53,"3,009",473,4
50,Libya,26.3351,17.228331,"223,000",0%,526.6,0.12,0.03,6.56,"3,699","30,825",59
