YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,EVENT_VALIDITY,CAUSE_CODE,FOCAL_DEPTH,PRIMARY_MAGNITUDE,COUNTRY,STATE,LOCATION_NAME,LATITUDE,LONGITUDE,REGION_CODE,MAXIMUM_WATER_HEIGHT,ABE,IIDA,SOLOVIEV,WARNING_STATUS,DEATHS,DEATHS_DESCRIPTION,MISSING,MISSING_DESCRIPTION,INJURIES,INJURIES_DESCRIPTION,DAMAGE_MILLIONS_DOLLARS,DAMAGE_DESCRIPTION,HOUSES_DESTROYED,HOUSES_DESTROYED_DESCRIPTION,HOUSES_DAMAGED,HOUSES_DAMAGED_DESCRIPTION,TOTAL_DEATHS,TOTAL_DEATHS_DESCRIPTION,TOTAL_MISSING,TOTAL_MISSING_DESCRIPTION,TOTAL_INJURIES,TOTAL_INJURIES_DESCRIPTION,TOTAL_DAMAGE_MILLIONS_DOLLARS,TOTAL_DAMAGE_DESCRIPTION,TOTAL_HOUSES_DESTROYED,TOTAL_HOUSES_DESTROYED_DESCRIPTION,TOTAL_HOUSES_DAMAGED,TOTAL_HOUSES_DAMAGED_DESCRIPTION
-2000,0,0,0,0,0,1,1,0,0,SYRIA,0,SYRIAN COASTS,35.683,35.8,50,0,0,0,6,0,0,3,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0
-1610,0,0,0,0,0,4,6,0,0,GREECE,0,THERA ISLAND (SANTORINI),36.4,25.4,50,90,0,0,6,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0
-1365,0,0,0,0,0,1,1,0,0,SYRIA,0,SYRIAN COASTS,35.683,35.8,50,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
-1300,0,0,0,0,0,2,0,0,6,TURKEY,0,"IONIAN COASTS, TROAD",39.96,26.24,50,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-760,0,0,0,0,0,2,0,0,0,ISRAEL,0,ISRAEL AND LEBANON COASTS,0,0,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-590,0,0,0,0,0,2,1,0,0,LEBANON,0,LEBANON COASTS,33.27,35.22,50,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-525,0,0,0,0,0,2,1,0,0,LEBANON,0,LEBANON COASTS,33.56,35.37,50,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-480,9,29,0,0,0,1,1,0,0,GREECE,0,SARONIC GULF,37.9,23.5,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-479,0,0,0,0,0,2,1,0,7,GREECE,0,NORTH AEGEAN,39.7,23.3,50,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
-426,6,0,0,0,0,4,1,0,7.1,GREECE,0,CORINTHOS-PATRAS GULF,38.9,22.7,50,0,0,0,5,0,0,3,0,0,0,0,0,2,0,2,0,0,2500,4,0,0,0,0,0,3,0,3,0,0
-373,0,0,0,0,0,4,3,0,7.3,GREECE,0,CORINTHOS-PATRAS GULF,38.25,22.25,50,0,0,0,5,0,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,0,3,0,3,0,0
-330,0,0,0,0,0,1,1,0,7,GREECE,0,"E. SPORADES ISLANDS, AEGEAN ISLANDS",40,25,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-326,11,0,0,0,0,2,1,0,0,INDIA,0,KUTCH,23,71,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-227,0,0,0,0,0,2,1,0,7.2,GREECE,0,DODECANESE ISLANDS,36.3,28.3,50,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
-226,0,0,0,0,0,1,0,0,0,GREECE,0,SOUTH EVIOKOS GULF,38.6,23.3,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-223,10,0,0,0,0,1,1,0,0,GREECE,0,MALIAKOS GULF,38.809,22.784,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
